NodeDegree,CumulativeProbability
0,0
1,0.000893313883552286
2,0.0110688628926378
3,0.0275677802942846
4,0.0503616910170073
5,0.0794514613991726
6,0.120130705781382
7,0.177760616393779
8,0.257226770610404
9,0.360353831014026
10,0.470877718286336
11,0.579711466043462
12,0.671718327271048
13,0.74310017456853
14,0.797728725458129
15,0.838860381294533
16,0.87020893121217
17,0.894559260656628
18,0.913894518624979
19,0.929582853097558
20,0.942309594048647
21,0.95265138771592
22,0.961090895862021
23,0.968097695340356
24,0.973979229738093
25,0.978865766588734
26,0.9828785823071
27,0.986138923864327
28,0.988757952168369
29,0.990822056951082
30,0.992413894015354
31,0.993616119164068
32,0.994511388200112
33,0.995182356926372
34,0.995704738912801
35,0.996110578583771
36,0.996414982225147
37,0.996633018860524
38,0.996779757513499
39,0.996870267207665
40,0.996919616966619
41,0.996942875813955
42,0.996955052232038
43,0.99696602510974
44,0.996976715926242
45,0.996987144659085
46,0.996997331285805
47,0.997007295783942
48,0.997017058131033
49,0.997026638304617
50,0.997036056282233
51,0.997045332041419
52,0.997054485559713
53,0.997063536814653
54,0.997072505783778
55,0.997081412444627
56,0.997090276774638
57,0.997099115109099
58,0.997107930507131
59,0.997116723003724
60,0.997125492633869
61,0.997134239432556
62,0.997142963434775
63,0.997151664675516
64,0.99716034318977
65,0.997168999012526
66,0.997177632178775
67,0.997186242723508
68,0.997194830681714
69,0.997203396088383
70,0.997211938978506
71,0.997220459387073
72,0.997228957349074
73,0.9972374328995
74,0.99724588607334
75,0.997254316905584
76,0.997262725431224
77,0.997271111685249
78,0.997279475702649
79,0.997287817518415
80,0.997296137167536
81,0.997304434685004
82,0.997312710105808
83,0.997320963464938
84,0.997329194797384
85,0.997337404138138
86,0.997345591522188
87,0.997353756984526
88,0.997361900560141
89,0.997370022284024
90,0.997378122191165
91,0.997386200316553
92,0.99739425669518
93,0.997402291362035
94,0.997410304352109
95,0.997418295700391
96,0.997426265441873
97,0.997434213611544
98,0.997442140244394
99,0.997450045375414
100,0.997457929039594
101,0.997465791271924
102,0.997473632107394
103,0.997481451580995
104,0.997489249727716
105,0.997497026582549
106,0.997504782180482
107,0.997512516556506
108,0.997520229745612
109,0.99752792178279
110,0.99753559270303
111,0.997543242541322
112,0.997550871332656
113,0.997558479112022
114,0.997566065914411
115,0.997573631774814
116,0.997581176728219
117,0.997588700809618
118,0.997596204054
119,0.997603686496356
120,0.997611148171675
121,0.997618589114949
122,0.997626009361168
123,0.997633408945321
124,0.997640787902398
125,0.997648146267391
